hos_event_id,hos_home,hos_home_id,hos_home_cid,hos_away,hos_away_id,hos_away_cid
184234fd-5e3f-4fb5-a231-8888bed1b265,Mississippi Rebels,7ac2cdb1-9456-480f-907a-b50e624e6f89,7ac2cdb1-9456-480f-907a-b50e624e6f89,Vanderbilt Commodores,4b323443-b71f-43ab-a999-b0c51d3f50f7,4b323443-b71f-43ab-a999-b0c51d3f50f7
42839d86-985c-4da7-9885-3537f7088d8a,Fresno State Bulldogs,e1681281-f576-4dd4-9d13-8ed9836bf2bb,e1681281-f576-4dd4-9d13-8ed9836bf2bb,San Jose State Spartans,89cf33cf-8a57-4f4e-8ab8-6f9ddd00312e,89cf33cf-8a57-4f4e-8ab8-6f9ddd00312e
4e07073e-706b-4ef0-bfae-2126bae6a699,Louisville Cardinals,846d0599-4851-4f37-9fc8-54ac26178f5d,846d0599-4851-4f37-9fc8-54ac26178f5d,Syracuse Orange,c30f9884-7817-4c7f-9703-0a4c5419962a,c30f9884-7817-4c7f-9703-0a4c5419962a
a02a6608-0821-4f28-a46b-b5f12e0adf47,Virginia Tech Hokies,cc798c58-c77c-4f60-a8d4-d502456cee58,cc798c58-c77c-4f60-a8d4-d502456cee58,Boston College Eagles,d7c03da7-66a0-4bdd-89b6-02fce40108f1,d7c03da7-66a0-4bdd-89b6-02fce40108f1
b29551fb-7765-4616-8dab-c2b6995aaade,Utah Utes,0551253a-db79-468b-ab3c-1e2f1ce31b44,0551253a-db79-468b-ab3c-1e2f1ce31b44,Colorado Buffaloes,3d2996b8-6d51-4278-9ffb-56ac58ee37a4,3d2996b8-6d51-4278-9ffb-56ac58ee37a4
c2dd6dba-9dda-4a14-9198-4c866d95d7ba,Mississippi Rebels,7ac2cdb1-9456-480f-907a-b50e624e6f89,7ac2cdb1-9456-480f-907a-b50e624e6f89,Vanderbilt Commodores,4b323443-b71f-43ab-a999-b0c51d3f50f7,4b323443-b71f-43ab-a999-b0c51d3f50f7
d24ae972-08bd-4d20-97f9-9a28468612ad,Air Force Falcons,31dabd6b-1791-4c56-8d56-523756c0047c,31dabd6b-1791-4c56-8d56-523756c0047c,Grand Canyon Antelopes,2360813a-0274-4f48-8333-7a7563a77efe,2360813a-0274-4f48-8333-7a7563a77efe
d867f9f7-c117-4f1e-a36c-f5a8bbf1586b,Illinois Fighting Illini,1dcc94b4-68ac-4a09-a4a7-869fc59c6250,1dcc94b4-68ac-4a09-a4a7-869fc59c6250,Oregon Ducks,53059973-cb88-47c4-8074-f1d12f0acb49,53059973-cb88-47c4-8074-f1d12f0acb49
e64b5aa3-2c05-4dc3-a8de-c431f637f528,Boise State Broncos,9c0161bd-55b6-4b36-ac1c-fce6d3bd83fb,9c0161bd-55b6-4b36-ac1c-fce6d3bd83fb,San Diego State Aztecs,c7693866-e3c3-410f-a806-cb10c1c4ac11,c7693866-e3c3-410f-a806-cb10c1c4ac11
f56843c1-f4c1-4c09-b909-4a762dc17ff4,Arizona State Sun Devils,a0992269-0ccc-4e33-bf13-8195034a3243,a0992269-0ccc-4e33-bf13-8195034a3243,Kansas Jayhawks,28f50917-8525-459b-b193-0acfada0b41b,28f50917-8525-459b-b193-0acfada0b41b
d7a87150-40fe-44a7-876b-fc767c069f40,Wyoming Cowboys,78571399-969c-4c71-b359-b0906bf42093,78571399-969c-4c71-b359-b0906bf42093,Nevada Reno Wolfpack,a1e2ee65-8a41-4f18-a91c-55d224534e64,a1e2ee65-8a41-4f18-a91c-55d224534e64
e93b1850-d622-495e-ad74-76e61efe3c0e,Auburn Tigers,634f883b-3184-4ffc-be07-af75eca6efb1,634f883b-3184-4ffc-be07-af75eca6efb1,LSU Tigers,c2e73529-e8f7-4d76-999e-efca243044e8,c2e73529-e8f7-4d76-999e-efca243044e8
3025a28a-6ef5-4637-86a7-bdf633aa7091,UNLV Rebels,4752584a-9083-4029-b3cb-c6f6ed6ead44,4752584a-9083-4029-b3cb-c6f6ed6ead44,Utah State Aggies,2fd4e8af-aa1c-4196-8f8e-f77376dbac11,2fd4e8af-aa1c-4196-8f8e-f77376dbac11
d779fe6f-6328-4318-90dc-0d96128cfd08,UCLA Bruins,b7cb4cbd-02d5-4547-a36d-c80fd5572056,b7cb4cbd-02d5-4547-a36d-c80fd5572056,Nebraska Cornhuskers,2fa8e1a8-b372-46b3-ad28-86ff5c325909,2fa8e1a8-b372-46b3-ad28-86ff5c325909
155d2548-c86a-4656-9d36-06a803a98295,Butler Bulldogs,366cda3f-b8a7-4137-9fe4-2ecf08b2bca2,366cda3f-b8a7-4137-9fe4-2ecf08b2bca2,Creighton Bluejays,1d9da374-916a-4a54-9034-fccf2c458903,1d9da374-916a-4a54-9034-fccf2c458903
26caba6b-1cb2-468f-b211-3ee50b07aa6b,La Salle Explorers,eb4d6fd5-c7d7-4a2d-b5c4-fecc30312dc0,eb4d6fd5-c7d7-4a2d-b5c4-fecc30312dc0,Fordham Rams,587530f4-99f2-4909-82c0-f2b8f7360246,587530f4-99f2-4909-82c0-f2b8f7360246
